Date,Station,Survey_Type,Trail_Walked,Order,Meters,Survey_Start_Time,Survey_End_Time,Searching_Time,Surveyors,Understory_Density_1,Understory_Density_2,Understory_Density_3,Understory_Density_4,Understory_Density_5,Understory_Density_6,Understory_Density_7,Understory_Density_8,Understory_Density_9,Understory_Density_10,Understory_Density_11,Understory_Density_12,Understory_Density_13,Understory_Density_Final, Temperature_1, Temperature_2, Temperature_3, Temperature_4, Temperature_5, Temperature_6, Temperature_7,Temperature_8,Temperature_Final,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Humidity_6,Humidity_7,Humidity_8,Humidity_Final,Number_of_Small_Mammals_Spotted,Number_of_Water_Bodies_Spotted,,,Notes
6/3/25,TBS,Night,Numa-Chichico,"NUMA-01, CHIO-03, CHIO-02, CHIO-01",1960,8:49 PM,11:05 PM,1:53,"O,J",3,2,1,4,5,2,1,0,,,,,,3,77.9,79.7,79.4,79.3,,,,,79.7,93.1,86.2,86.1,87.5,,,,,90.1,1,8,,,no track on Gaia
6/4/25,TBS,Night,Anaconda-Lago,"ANAC-01, LAGO-02",1838,8:12 PM,10:32 PM,1:52,"O,J,T",2,1,3,1,1,5,2,1,,,,,,0,77.8,77.8,79.8,79.5,,,,,79.4,91,88.1,85.7,85.4,,,,,85.7,2,5,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,"MAPO-02, MAPO-03, MURC-01, MURC-02 PUEN-01, MAPO-04, MAPO-05, MAPO-06, CHIO-03, NUMA-02",2305,8:08 PM,11:02 PM,2:12,"O,J",2,3,3,7,0,2,1,2,0,,,,,1,73.4,74.5,75.6,74.3,75.7,,,,75.2,95.6,93.4,91.6,93.6,90,,,,92.6,1,3,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,"GUAC-01, GUAC-02, DANT-01, LAGO-01",1841,7:59 PM,10:26 PM,2:05,"O,J",2,1,2,0,2,5,0,1,4,,,,,3,77,77.1,79.4,78.7,78.8,,,,78.1,94,86.4,87.3,86.4,87.3,,,,91.5,2,4,,,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"YCHO-01, KINK-01, NAPO-04, BARI-02, BARI-01, TINA-01, BOTA-01",2501,8:15 PM,11:03 PM,2:08,"O,J",2,1,2,1,1,2,2,1,1,,,,,4,82,80,75.9,76.7,79.8,,,,79.2,85.9,89.4,92.3,88.4,90,,,,91.1,4,7,,,
6/10/25,YRS,Night,Ceiba-Peru,"CEIB-01, PERU-01, PERU-02, PERU-03, PERU-04, PERU-05",2213,8:07 PM,10:33 PM,2:01,"O,J",3,2,0,0,0,1,2,0,1,,,,,2,79.3,80.8,80.4,79.6,79.4,,,,79.4,90.8,83.4,87.4,85.6,85.8,,,,85.8,7,5,,,
6/12/25,YRS,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"GAWA-01, GAWA-02, GAWA-03, YCHO-02, KINK-01, NAPO-05, TUCA-01, GARZ-01",3332,8:01 PM,10:53 PM,2:22,"O,J",2,2,1,2,1,1,1,2,3,6,,,,4,78,79.3,80.4,77.7,78.4,,,,78.3,88.6,87.8,87.1,89.7,90.5,,,,90.4,9,5,,,
6/14/25,YRS,Night,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,"BOTA-01, TINA-01, TINA-02, NAPO-02, NAPO-03, BARI-02, TIMA-01, NAPO-01, PANT-01, BOTA-03, BOTA-02, GRFI-01",2256,8:04 PM,10:40 PM,1:52,"O,J",3,1,0,1,1,1,2,1,,,,,,0,78.1,79.1,79.2,73.9,,,,,76.3,89.8,89.3,88.4,97.3,,,,,97.5,7,4,,,
6/15/25,YRS,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,"TORR-01, FPPE-06, FPPE-03, FPIN-01, FPPE-05, FPPE-01",2572,8:34 PM,11:24 PM,2:20,"O,J,Tristan,Fenton,Nora",1,1,0,2,1,2,0,4,0,3,,,,0,76.3,76.1,76.2,75.7,75.2,,,,74.4,96.9,95,96.2,96.5,96.4,,,,97.5,5,6,,,
6/17/25,YRS,Night,Forest Plot Perimeter,"FPPE-03, FPPE-04, FPPE-05, FPPE-02",3561,8:17 PM,11:35 PM,2:51,"O,J",1,5,3,1,2,1,2,0,2,6,0,1,,3,74.8,74.6,76.2,76.2,76,76.3,,,76.9,93.2,95.2,93,93.5,94.1,92.8,,,92.7,5,25,,,
6/18/25,YRS,Night,Mirador,"MIRA-04, MIRA-03, MIRA-02, MIRA-01",2060,8:47 PM,10:56 PM,1:42,"O,J,Vicente,Nora,Dillon,Peter",3,1,3,2,3,2,3,,,,,,,1,78,80.2,78.8,76.7,,,,,76,94.2,90.5,91.6,96.1,,,,,97.8,6,11,,,
6/20/25,TBS,Night,Guacamayo-Puma-Harpia-Chorongo,"GUAC-03, PUMA-01, PUMA-02, HARP-05, TCHO-01",2638,8:23 PM,11:07 PM,2:18,"O,J,JP",2,1,5,2,1,4,0,7,,,,,,2,79.3,79.5,77.7,76.8,77.2,,,,76.6,81.5,86.9,89.1,87.9,87.8,,,,95.5,4,4,,,
6/21/25,TBS,Night,Parahuaco,PARA-01,3522,8:43 PM,11:53 PM,2:54,"O,J,JP",1,0,0,2,3,1,5,1,2,0,1,2,,1,78.7,78.4,75.9,75.6,75.5,74.5,,,76.1,86.6,86.7,92.3,93.4,94.8,94.6,,,95.2,0,24,,,
6/23/25,TBS,Night,Puma-Puma Plot,"PUMA-01, PUPL-01, PUPL-02, PUPL-03, PUPL-04, PUPL-07, PUPL-05, PUPL-08, PUPL-06",2819,8:12 PM,11:04 PM,2:24,"O,J,JP",0,2,1,0,0,3,5,1,4,1,,,,3,84,82.6,81.7,82,79.9,,,,79.5,82.1,87.8,86.1,85.6,91.9,,,,90,3,13,,,
6/25/25,TBS,Night,Harpia Plot-Harpia,"HAPL-01, HARP-01",2703,8:00 PM,10:22 PM,2:06,"O,J,JP",1,2,1,3,4,4,3,1,3,,,,,1,80,79.3,77.3,75.5,78.2,,,,80.8,87.2,87.8,93,96.6,97.4,,,,97.6,1,11,,,
6/26/25,TBS,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,"MAPO-01, MAPO-02, MAPO-03, MURC-01, MURC-02, PUEN-01, MUPO-01, MAPO-04, MAPO-05, MAPO-06, CHIO-03, NUMA-02",2768,8:01 PM,10:51 PM,2:18,"O,J,JP",1,1,0,0,4,3,2,2,0,2,,,,2,77,76.7,77.1,76.2,75.4,,,,76.1,91.1,93.2,93.3,94.6,96.7,,,,95.5,3,7,,,
6/27/25,TBS,Night,Guacamayo-Danta-Lago,"GUAC-01, GUAC-02, DANT-01, LAGO-01",1841,8:10 PM,10:04 PM,1:43,"O,J,JP",5,1,2,1,3,1,3,,,,,,,4,77,80.5,79.1,80.3,,,,,80,91.5,84.7,87.4,85.4,,,,,87.9,2,4,,,
6/28/25,TBS,Night,Guacamayo-Puma-Harpia-Chorongo,"GUAC-03, PUMA-01, PUMA-02, HARP-05, TCHO-01",2638,8:17 PM,10:36 PM,2:08,"O,J,JP",2,2,2,0,1,0,1,0,3,,,,,3,76.2,75.5,73.5,74.6,75.4,,,,74.5,85.6,95.7,95.9,95.6,95.8,,,,94.9,0,3,,,
6/29/25,TBS,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,"MAPO-01, MAPO-02, MANU-01, NUMA-02, CHIO-03, CHIO-02, CHIO-01, MAPO-06, NUMA-01",3004,8:08 PM,11:03 PM,2:32,"O,J,JP",5,1,2,2,6,1,1,2,4,2,3,,,2,79.1,75.7,74.8,75.3,75.8,75.1,,,74.3,84.2,93.4,94.5,93.9,94.6,95.1,,,96.9,2,10,,,
6/30/25,TBS,Night,Puma-Puma Plot,"PUMA-01, PUPL-01, PUPL-02, PUPL-04, PUPL-07, PUPL-05, PUPL-06, PUPL-10, PUPL-12",2826,8:12 PM,11:15 PM,2:23,"O,J,JP",2,4,0,0,5,4,1,1,1,0,,,,3,79.3,77.9,77,77.9,76,,,,76.8,87.3,91.3,93.6,92.1,93,,,,94.1,0,16,,,
7/1/25,TBS,Night,Harpia Plot-Harpia,"HAPL-01, HARP-01",2703,8:48 PM,11:22 PM,2:18,"O,J,JP",2,0,0,1,0,3,0,2,1,4,,,,1,78.9,76.8,76.3,75.3,75,,,,74.8,93.6,95.9,96.4,97.3,95.9,,,,96.3,1,17,,,
7/2/25,TBS,Night,Anaconda-Lago,"ANAC-01, LAGO-02, LAGO-01",2557,8:06 PM,10:53 PM,2:19,"O,J,JP",3,4,6,3,1,3,0,1,3,0,,,,1,73.3,74.6,72.1,72.8,71.1,,,,71.3,90.5,89.1,94.3,94.7,97.8,,,,96,1,19,,,
7/4/25,YRS,Night,Forest Plot Perimeter,"FPPE-03, FPPE-04, FPPE-05, FPPE-02",3561,8:21 PM,11:39 PM,3:03,"O,J,JP",0,3,0,3,3,5,0,1,4,2,6,5,2,1,76.6,72.6,72,71.9,72.2,71.9,74.1,,73.3,85,95,95.3,95.9,94.1,95.2,90.1,,92.6,3,16,,,
7/5/25,YRS,Night,Coca-Ceiba-Peru-Tiputini-Peru,"COCA-01, CEIB-02, PERU-01, PERU-02, PERU-03, TIPU-01, PERU-04, PERU-05",2628,8:26 PM,11:30 PM,2:14,"O,J,JP",5,7,3,2,2,0,3,4,2,,,,,2,77.2,73.5,73.4,73.2,71.9,,,,71.9,84.9,93.6,93.9,94.4,93.7,,,,94.3,6,6,,,
7/6/25,YRS,Night,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,"YCHO-01, KINK-01, NAPO-05, TUCA-01, GARZ-02, NAPO-06",2606,8:13 PM,10:38 PM,2:12,"O,J,JP",3,0,1,2,1,0,1,3,0,,,,,1,74.6,75.1,74.2,74.4,75.3,,,,74.7,95.7,94.8,96.6,95.7,97.1,,,,95,8,4,,,
7/7/25,YRS,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,"TORR-01, FPPE-06, FPPE-03, FPIN-01, FPPE-05, FPPE-01",2572,8:26 PM,11:02 PM,2:11,"O,J,JP",0,0,1,2,2,1,10,3,3,,,,,1,76.6,76.4,75.1,74,74.1,,,,74.6,92.7,96.1,94,94.8,96.3,,,,95.2,7,8, ,,
7/8/25,YRS,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,"PANT-01, NAPO-01, NAPO-02, NAPO-03, BARI-02, TIMA-01, TINA-02, TINA-01, BOTA-02, BOTA-03, GRFI-01, BOTA-01",2256,8:18 PM,10:59 PM,1:49,"O,J,JP",3,6,0,2,0,11,2,5,,,,,,4,74.6,73.9,75.2,74.3,,,,,75.8,94.7,96.1,96.7,96.4,,,,,97.1,5,3,,,
7/9/25,YRS,Night,Coca-Ceiba,"COCA-01, CEIB-02",764,8:45 PM,9:34 PM,0:40,"O,J",0,4,5,,,,,,,,,,,8,71.5,71.3,,,,,,,71.2,92.1,96.4,,,,,,,95.6,2,2,,,
7/11/25,YRS,Night,Gawape-Chorongo-Kinkajou,"GAWA-01, GAWA-02, GAWA-03, YCHO-02, KINK-01",2626,8:14 PM,10:40 PM,2:02,"O,J,JP",5,2,6,2,2,4,3,0,2,,,,,1,72.5,72.6,73.8,72.3,73.4,,,,74,94.2,95.5,92.3,95.4,96.8,,,,95.1,5,7,,,
7/13/25,YRS,Night,Botanico-Tinamou-Napo-Timatai-Bariso,"BOTA-01, TINA-01, TINA-02, NAPO-01, NAPO-02, TIMA-01, BARI-01",1738,8:51 PM,10:41 PM,1:37,"O,J,JP,Dillon",1,2,3,0,2,4,3,,,,,,,2,73.8,72.4,72.6,72.2,,,,,72.4,95.3,98,97.2,98.7,,,,,97.4,3,5,,,
7/14/25,YRS,Night,Mirador,"MIRA-04, MIRA-03, MIRA-02, MIRA-01",2060,8:34 PM,10:56 PM,2:09,"O,J,JP",1,2,2,5,4,2,2,1,1,,,,,3,76.9,75.9,76.1,76.1,76.4,,,,76.2,98.7,98,98.3,92.5,96.8,,,,97.5,10,7,,,
7/15/25,YRS,Night,Chorongo-Kinkajou-Napo,"YCHO-01, KINK-01, NAPO-05, NAPO-06",2084,8:30 PM,10:12 PM,1:31,"O,J,JP,Nora",2,1,2,2,6,2,3,,,,,,,4,76.5,75.8,75.3,75.5,,,,,75.5,97.4,97.5,98,96.9,,,,,97.7,5,2,,,
7/16/25,YRS,Night,Coca-Ceiba-Peru-Renacuajo-Mirador,"COCA-01, CEIB-02, PERU-01, RENA-01, MIRA-01",1836,8:21 PM,10:24 PM,1:33,"O,J,JP",0,3,4,2,1,0,7,,,,,,,2,74.6,74.2,74.4,73.8,,,,,74.4,96.7,97.8,98.7,96.6,,,,,97,5,3,,,