Station,PARENT TRAIL,SEGMENT,DISTANCE_M
TBS,Guacamayo,GUAC-01,230
TBS,Guacamayo,GUAC-02,301
TBS,Guacamayo,GUAC-03,279
TBS,Guacamayo,GUAC-04,1912
TBS,Puma,PUMA-01,750
TBS,Puma,PUMA-02,388
TBS,Harpia,HARP-01,483
TBS,Harpia,HARP-02,1744
TBS,Harpia,HARP-03,940
TBS,Harpia,HARP-04,511
TBS,Harpia,HARP-05,740
TBS,Chorongo,TCHO-01,481
TBS,Chorongo,TCHO-02,830
TBS,Matapalo,MAPO-01,53
TBS,Matapalo,MAPO-02,170
TBS,Matapalo,MAPO-03,388
TBS,Matapalo,MAPO-04,387
TBS,Matapalo,MAPO-05,250
TBS,Matapalo,MAPO-06,359
TBS,Murcielago,MURC-01,156
TBS,Murcielago,MURC-02,122
TBS,Chichico,CHIO-01,609
TBS,Chichico,CHIO-02,1000
TBS,Chichico,CHIO-03,61
TBS,Numa,NUMA-01,290
TBS,Numa,NUMA-02,268
TBS,Mata-Mata,MATA-01,1030
TBS,Anaconda,ANAC-01,388
TBS,Lago,LAGO-01,719
TBS,Lago,LAGO-02,1450
TBS,Puentes,PUEN-01,144
TBS,Parahuaco,PARA-01,3522
TBS,Puma Plot,PUPL-01,270
TBS,Puma Plot,PUPL-02,652
TBS,Puma Plot,PUPL-03,210
TBS,Puma Plot,PUPL-04,411
TBS,Puma Plot,PUPL-05,105
TBS,Puma Plot,PUPL-06,139
TBS,Puma Plot,PUPL-07,143
TBS,Puma Plot,PUPL-08,139
TBS,Puma Plot,PUPL-09,163
TBS,Puma Plot,PUPL-10,248
TBS,Puma Plot,PUPL-11,324
TBS,Puma Plot,PUPL-12,108
TBS,Murcielago Pond,MUPO-01,410
TBS,Harpia Plot,HAPL-01,2220
TBS,Numa/Matapalo Connector,MANU-01,194
TBS,Danta,DANT-01,591
YRS,Chorongo,YCHO-01,1230
YRS,Chorongo,YCHO-02,691
YRS,Kinkajou,KINK-01,321
YRS,Gawape,GAWA-01,272
YRS,Gawape,GAWA-02,650
YRS,Gawape,GAWA-03,692
YRS,Napo,NAPO-01,135
YRS,Napo,NAPO-02,419
YRS,Napo,NAPO-03,157
YRS,Napo,NAPO-04,220
YRS,Napo,NAPO-05,243
YRS,Napo,NAPO-06,290
YRS,Timatai,TIMA-01,128
YRS,Coca,COCA-01,301
YRS,Garza,GARZ-01,223
YRS,Garza,GARZ-02,282
YRS,Tucan,TUCA-01,240
YRS,Bariso,BARI-01,340
YRS,Bariso,BARI-02,183
YRS,Tinamou,TINA-01,65
YRS,Tinamou,TINA-02,509
YRS,Pantano,PANT-01,103
YRS,Gran Ficus,GRFI-01,96
YRS,Botanico,BOTA-01,142
YRS,Botanico,BOTA-02,69
YRS,Botanico,BOTA-03,250
YRS,Ceiba,CEIB-01,490
YRS,Ceiba,CEIB-02,463
YRS,Peru,PERU-01,250
YRS,Peru,PERU-02,738
YRS,Peru,PERU-03,175
YRS,Peru,PERU-04,259
YRS,Peru,PERU-05,301
YRS,Tiputini,TIPU-01,141
YRS,Torre,TORR-01,900
YRS,Renacuajo,RENA-01,272
YRS,Mirador,MIRA-01,550
YRS,Mirador,MIRA-02,592
YRS,Mirador,MIRA-03,158
YRS,Mirador,MIRA-04,760
YRS,Forest Plot Interior,FPIN-01,1053
YRS,Forest Plot Perimeter,FPPE-01,171
YRS,Forest Plot Perimeter,FPPE-02,2520
YRS,Forest Plot Perimeter,FPPE-03,88
YRS,Forest Plot Perimeter,FPPE-04,662
YRS,Forest Plot Perimeter,FPPE-05,291
YRS,Forest Plot Perimeter,FPPE-06,69