Snake Survey Data Sheet,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Trail_Walked,Surveyors,Survey_Start_Time,Survey_End_Time,Reptile_ID,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Diet_Type,Primary_Diet_Component,Notes
,,,,,,,,,,,,,,,,,,,,,,
06/11/24*,TBS,Numa-Chichico-Matapalo,"O,M,T,A",8:37 PM,11:36 PM,SK0,Xenoxybelis argenteus,Striped Sharpnose Snake,10:14 PM,S 00°38.5950'  W 076°08.7456',Mike,,,6,U,Varzea,12,cloudy,no wind,no mammals,lizards,
06/11/24*,TBS,Numa-Chichico-Matapalo,"O,M,T,A",8:37 PM,11:36 PM,SK00,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:13 PM,S 00°38.3980' W 076°08.9387',Mike,,,0.5,U,Varzea,12,cloudy,no wind,no mammals,lizards,
06/13/24,TBS,Guacamayo-Danta-Lago,"O,M,T",8:59 PM,11:54 PM,SK01,Dipsas catesbyi,Catesby's Snail Eater,10:33 PM,S 00°38.324' W 076°09.224',Mike,80.8,83.7,3.5,U,Varzea,6,partly cloudy,no wind,no mammals,arthropods,rain at end of survey
06/13/24,TBS,Guacamayo-Danta-Lago,"O,M,T",8:59 PM,11:54 PM,SK02,Dipsas catesbyi,Catesby's Snail Eater,11:07 PM,S 00°38.3868' W 076°09.2344',Mike,83,79.8,0.5,U,Varzea,6,partly cloudy,no wind,no mammals,arthropods,rain at end of survey
06/17/24,TBS,Matapalo-Torre-Murcielago-Matapalo-Numa,"O,T",8:04 PM,12:11 AM,SK03,Oxyrhopus petolarius,Forest Flame Snake,8:47 PM,S 00°38.2292' W 076°08.7913',Owen,79.3,93.2,0,G,Terrafirme,24,clear,no wind,mixed,mixed,
06/17/24,TBS,Matapalo-Torre-Murcielago-Matapalo-Numa,"O,T",8:04 PM,12:11 AM,SK04,Drepanoides anomalus,Black-collared Snake,11:51 PM,S 00°38.2159' W 076°08.8751',Owen,77.2,91.6,2,U,Terrafirme,24,clear,no wind,no mammals,eggs,
06/17/24,TBS,Matapalo-Torre-Murcielago-Matapalo-Numa,"O,T",8:04 PM,12:11 AM,SK05,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:59 PM,S 00°38.2150' W 076°08.8750',Owen,77.2,91.6,3,U,Varzea,24,clear,no wind,no mammals,lizards,
06/19/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,"O,M,Jess,Amy",7:58 PM,10:50 PM,SK06,Chironius multiventris,South American Sipo,8:31 PM,S 00°37.9299' W 076°09.3697',Owen,76.9,92.2,2,U,Terrafirme,6,cloudy,no wind,no mammals,frogs,
06/22/24,TBS,Anaconda-Lago,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK07,Siphlophis cervinus,Panama Spotted Nightsnake,9:21 PM,S 00°38.2567' W 076°09.5111',Owen,83.1,79.7,1.75,U,Varzea,30,clear,no wind,no mammals,lizards,
06/22/24,TBS,Anaconda-Lago,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK08,Dipsas catesbyi,Catesby's Snail Eater,10:03 PM,S 00°38.3870' W 076°09.2314',Adrian,83.2,83.5,1.3,U,Varzea,30,clear,no wind,no mammals,arthropods,
06/22/24,TBS,Anaconda-Lago,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK09,Dipsas pavonina,Northern Snail Eater,10:10 PM,S 00°38.3807' W 076°09.1913',Owen,83.2,83.5,1.4,U,Varzea,30,clear,no wind,no mammals,arthropods,
06/23/24,TBS,Matapalo-Murcielago-Murcielago Pond,"O,M,Ramiro",8:00 PM,10:36 PM,,,,,,,,,,,,54,clear,no wind,,,
06/27/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,T",8:07 PM,11:04 PM,SK10,Epicrates cenchria,Western Rainbow Boa,8:20 PM,S 00°40.6223' W 076°24.4398',Owen,79.7,83.6,4,G,Varzea,12,clear,no wind,mostly mammals,rodents,
06/27/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,T",8:07 PM,11:04 PM,SK11,Epicrates cenchria,Western Rainbow Boa,10:49 PM,S 00°40.5218' W 076°23.9045',Owen,77.8,85.8,0.5,U,Terrafirme,12,clear,no wind,mostly mammals,rodents,
06/29/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"O,M,Dimitri",8:04 PM,11:19 PM,SK12,Chironius fuscus,Brown Sipo,8:35 PM,S 00°40.2144' W 076°23.9531' ,Mike,79.3,93.2,3.2,U,Varzea,6,clear,no wind,mixed,frogs,
07/02/24,YRS,Forest Plot Perimeter,"O,T",8:00 PM,11:11 PM,,,,,,,,,,,,0,rain,no wind,,,
07/03/24,YRS,Ceiba-Peru,"O,M",8:11 PM,11:07 PM,SK13,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:45 PM,S 00°40.6490' W 076°23.6095',Owen,77.3,93.2,2.5,U,Terrafirme,12,cloudy,no wind,no mammals,lizards,
07/04/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,Sophia",8:12 PM,11:00 PM,SK14,Leptodeira approximans,Upper Amazon Cat-eyed Snake,8:48 PM,S 00°40.5370' W 076°24.4967' ,Owen,78.3,87,0.3,U,Terrafirme,6,cloudy,no wind,mixed,frogs,
07/04/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,Sophia",8:12 PM,11:00 PM,SK15,Dipsas pavonina,Northern Snail Eater,9:27 PM,S 00°40.3463' W 076°24.3769',Owen,78.4,94.7,0.5,U,Varzea,6,cloudy,no wind,no mammals,arthropods,
07/06/24,YRS,Forest Plot Perimeter,"O,A",8:29 PM,11:28 PM,,,,,,,,,,,,12,clear,no wind,,,
07/08/24,TBS,Matapalo-Torre-Murcielago-Murcielago Pond-Matapalo-Numa,"O,Ethan",8:01 PM,10:53 PM,,,,,,,,,,,,24,clear,no wind,,,
07/10/24,TBS,Guacamayo-Danta-Lago,"O,M",8:07 PM,10:58 PM,,,,,,,,,,,,6,clear,no wind,,,
07/11/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,"O,T",8:08 PM,10:57 PM,,,,,,,,,,,,6,partly cloudy,no wind,,,
07/14/24,TBS,Harpia Plot-Harpia,"O,T",8:51 PM,12:05 AM,SK16,Imantodes lentiferus,Amazon Blunt-headed Tree Snake,10:14 PM,S0° 38.003' W76° 08.195',Owen,77.5,85.5,2.8,U,Terrafirme,12,clear,no wind,no mammals,lizards,
07/14/24,TBS,Harpia Plot-Harpia,"O,T",8:51 PM,12:05 AM,SK17,Oxyrhopus petolarius,Forest Flame Snake,11:48 PM,S0° 38.112' W76° 08.806',Owen,77.4,85.6,2.3,U,Terrafirme,12,clear,no wind,mixed,mixed,
07/14/24,TBS,Harpia Plot-Harpia,"O,T",8:51 PM,12:05 AM,SK18,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:52 PM,S0° 38.138' W76° 08.822',Therese,77.4,85.6,1.6,U,Terrafirme,12,clear,no wind,no mammals,lizards,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK19,Drepanoides anomalus,Black-collared Snake,9:10 PM,S0° 38.251' W76° 09.759',Owen,75.7,92.4,2.8,U,Varzea,24,clear,no wind,no mammals,eggs,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK20,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:02 PM,S0° 38.269' W76° 09.498',Owen,75.1,91.4,0.3,U,Varzea,24,clear,no wind,no mammals,lizards,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK21,Chironius fuscus,Brown Sipo,10:12 PM,S0° 38.288' W76° 09.463',Owen,77.7,86.5,0.2,U,Varzea,24,clear,no wind,mixed,frogs,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK22,Corallus hortulanus,Amazon Tree Boa,10:31 PM,S0° 38.298' W76° 09.380',Mike,76.6,87,8,U,Varzea,24,clear,no wind,mostly mammals,mammals,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK23,Epicrates cenchria,Western Rainbow Boa,10:58 PM,S0° 38.340' W76° 09.307',Mike,75.9,88.9,2.2,U,Varzea,24,clear,no wind,mostly mammals,mammals,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK24,Chironius multiventris,South American Sipo,11:05 PM,S0° 38.341' W76° 09.271',Mike,77.5,84.9,3.5,U,Varzea,24,clear,no wind,no mammals,frogs,
07/17/24,TBS,Puma-Puma Plot,"O,T",8:14 PM,11:22 PM,SK25,Xenoxybelis argenteus,Striped Sharpnose Snake,8:14 PM,S0° 37.992' W76° 09.323',Owen,74.1,87.4,0.2,U,Terrafirme,6,partly cloudy,no wind,no mammals,lizards,
07/17/24,TBS,Puma-Puma Plot,"O,T",8:14 PM,11:22 PM,SK26,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:16 PM,S0° 37.986' W76° 09.329',Owen,74.1,87.4,1.7,U,Terrafirme,6,partly cloudy,no wind,no mammals,lizards,
07/17/24,TBS,Puma-Puma Plot,"O,T",8:14 PM,11:22 PM,SK27,Leptophis cupreus,Copper Parrot Snake,8:58 PM,S0° 37.657' W76° 09.434',Owen,75.3,87.5,0.4,U,Varzea,6,partly cloudy,no wind,no mammals,frogs,
07/17/24,TBS,Puma-Puma Plot,"O,T",8:14 PM,11:22 PM,SK28,Dipsas pavonina,Northern Snail Eater,9:17 PM,S0° 37.509' W76° 09.441',Owen,74.8,89.7,1,U,Terrafirme,6,partly cloudy,no wind,no mammals,arthropods,
07/17/24,TBS,Puma-Puma Plot,"O,T",8:14 PM,11:22 PM,SK29,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:07 PM,S0° 37.356' W76° 09.540',Owen,74.1,91,1.6,U,Varzea,6,partly cloudy,no wind,no mammals,lizards,
07/17/24,TBS,Puma-Puma Plot,"O,T",8:14 PM,11:22 PM,SK30,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:13 PM,S0° 37.363' W76° 09.588',Therese,75.2,90.8,2,U,Varzea,6,partly cloudy,no wind,no mammals,lizards,
07/17/24,TBS,Puma-Puma Plot,"O,T",8:14 PM,11:22 PM,SK31,Chironius multiventris,South American Sipo,10:43 PM,S0° 37.413' W76° 09.710',Therese,74.6,90.3,0.5,U,Varzea,6,partly cloudy,no wind,no mammals,frogs,
07/18/24,TBS,Harpia Plot-Harpia,"O,Brian",8:00 PM,10:50 PM,SK32,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:14 PM,S0° 37.993' W76° 08.315',Owen,78,91.5,1.6,U,Terrafirme,24,partly cloudy,felt on face,no mammals,lizards,
07/18/24,TBS,Harpia Plot-Harpia,"O,Brian",8:00 PM,10:50 PM,SK33,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:08 PM,S0° 38.077' W76° 08.750',Brian,76.5,92.2,1.5,U,Terrafirme,24,partly cloudy,felt on face,no mammals,lizards,
07/18/24,TBS,Harpia Plot-Harpia,"O,Brian",8:00 PM,10:50 PM,SK34,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:29 PM,S0° 38.168' W76° 08.826',Owen,77.2,92.9,0.5,U,Terrafirme,24,partly cloudy,felt on face,no mammals,lizards,
07/20/24,TBS,Puma-Puma Plot,"O,T",8:06 PM,11:51 PM,SK35,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:48 PM,S0° 37.395' W76° 09.666',Owen,74.8,92.1,2.2,U,Varzea,6,cloudy,none,no mammals,lizards,
07/23/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"O,T",8:09 PM,10:46 PM,SK36,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:21 PM,S0° 40.510' W76° 24.074',Owen,78.9,88.1,0.2,U,Terrafirme,48,partly cloudy,none,no mammals,lizards,
07/23/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"O,T",8:09 PM,10:46 PM,SK37,Drepanoides anomalus,Black-collared Snake,10:27 PM,S0° 40.543' W76° 23.912',Owen,78.4,88.9,0.4,G,Varzea,48,partly cloudy,none,no mammals,eggs,
07/23/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"O,T",8:09 PM,10:46 PM,SK38,Xenoxybelis argenteus,Striped Sharpnose Snake,10:38 PM,S0° 40.544' W76° 23.889',Owen,78.4,89.1,1.6,U,Varzea,48,partly cloudy,none,no mammals,lizards,
07/25/24,YRS,Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre,"O,T",8:19 PM,10:44 PM,SK39,Corallus hortulanus,Amazon Tree Boa,9:31 PM,S0° 40.908' W76° 23.793',Therese,78.1,89.6,0.2,U,Terrafirme,96,partly cloudy,felt on face,mostly mammals,mammals,
07/26/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"O,A",8:02 PM,10:54 PM,SK40,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:58 PM,S0° 40.310' W76° 24.327',Owen,76.9,93.5,0.3,U,Terrafirme,120,clear,none,no mammals,lizards,
07/26/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"O,A",8:02 PM,10:54 PM,SK41,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:21 PM,S0° 40.147' W76° 24.330',Owen,77.1,94.6,1.2,U,Terrafirme,120,clear,none,no mammals,lizards,
07/26/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"O,A",8:02 PM,10:54 PM,SK42,Xenoxybelis argenteus,Striped Sharpnose Snake,9:29 PM,S0° 40.061' W76° 24.323',Owen,77.5,94.8,2.2,U,Terrafirme,120,clear,none,no mammals,lizards,
07/28/24,YRS,Ceiba-Peru,"O,M",8:27 PM,11:31 PM,SK43,Dendrophidion dendrophis,Olive Forest Racer,10:33 PM,S0° 40.645' W76° 23.570',Mike,76.8,87.3,1.5,U,Terrafirme,6,partly cloudy,felt on face,mixed,frogs,
07/29/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,T",8:20 PM,10:48 PM,SK44,Corallus batesii,Bates' Emerald Tree Boa,8:32 PM,S0° 40.677' W76° 24.419',Owen,81.4,86,1,U,Terrafirme,30,clear,none,mostly mammals,mammals,
07/29/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,T",8:20 PM,10:48 PM,SK45,Leptodeira approximans,Upper Amazon Cat-eyed Snake,8:51 PM,S0° 40.607' W76° 24.463',Owen,81.6,83.1,4.3,U,Terrafirme,30,clear,none,mixed,frogs,
07/31/24,YRS,Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre,"O,M",8:38 PM,11:53 PM,SK46,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:30 PM,S0° 40.823' W76° 23.200',Owen,77.3,93.3,5,U,Terrafirme,54,clear,none,no mammals,lizards,
07/31/24,YRS,Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre,"O,M",8:38 PM,11:53 PM,SK47,Oxyrhopus vanidicus,Impostor Flame Snake,11:29 PM,S0° 40.935' W76° 24.075',Owen,76.7,93.7,1.7,G,Terrafirme,54,clear,none,mixed,mixed,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"O,T,A",8:07 PM,10:19 PM,SK48,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:16 PM,S0° 40.540' W76° 23.961',Owen,75.9,90.3,0.2,U,Terrafirme,78,clear,none,no mammals,lizards,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"O,T,A",8:07 PM,10:19 PM,SK49,Dendrophidion dendrophis,Olive Forest Racer,8:17 PM,S0° 40.540' W76° 23.968',Therese,75.9,90.3,2.3,U,Terrafirme,78,clear,none,mixed,frogs,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"O,T,A",8:07 PM,10:19 PM,SK50,Xenoxybelis argenteus,Striped Sharpnose Snake,8:37 PM,S0° 40.631' W76° 24.021',Owen,74.8,93.3,2.8,U,Terrafirme,78,clear,none,no mammals,lizards,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"O,T,A",8:07 PM,10:19 PM,SK51,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:57 PM,S0° 40.582' W76° 24.109',Owen,74.4,93.6,1,U,Terrafirme,78,clear,none,no mammals,lizards,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"O,T,A",8:07 PM,10:19 PM,SK52,Leptodeira approximans,Upper Amazon Cat-eyed Snake,9:07 PM,S0° 40.527' W76° 24.065',Owen,75.1,92.9,1.6,U,Terrafirme,78,clear,none,mixed,frogs,