Start_Date,End_Date,Station,Trail_Walked,Order,Meters,Survey_Start_Time,Survey_End_Time,Searching_Time,Surveyors,Understory_Density_1,Understory_Density_2,Understory_Density_3,Understory_Density_4,Understory_Density_5,Understory_Density_6,Understory_Density_7,Understory_Density_8,Understory_Density_9,Understory_Density_10,Understory_Density_11,Understory_Density_12,Understory_Density_13,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,Temperature_6,Temperature_7,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Humidity_6,Humidity_7,Number_of_Small_Mammals_Spotted,Number_of_Water_Bodies_Spotted,Notes,Understory_Density_Final,Humidity_8,Humidity_Final,Temperature_8,Temperature_Final
7/16/2025,7/16/2025,YRS,Coca-Ceiba-Peru-Renacuajo-Mirador,"COCA-01, CEIB-02, PERU-01, RENA-01, MIRA-01",1836,8:21 PM,10:24 PM,1:33,"O,J,JP",0,3,4,2,1,0,7,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,5,3,NA,2,,,,
7/15/2025,7/15/2025,YRS,Chorongo-Kinkajou-Napo,"YCHO-01, KINK-01, NAPO-05, NAPO-06",2084,8:30 PM,10:12 PM,1:31,"O,J,JP,Nora",2,1,2,2,6,2,3,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,5,2,NA,4,,,,
7/14/2025,7/14/2025,YRS,Mirador,"MIRA-04, MIRA-03, MIRA-02, MIRA-01",2060,8:34 PM,10:56 PM,2:09,"O,J,JP",1,2,2,5,4,2,2,1,1,NA,NA,NA,NA,,,,,,,,,,,,,,,10,7,NA,3,,,,
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,"BOTA-01, TINA-01, TINA-02, NAPO-01, NAPO-02, TIMA-01, BARI-01",1738,8:51 PM,10:41 PM,1:37,"O,J,JP,Dillon",1,2,3,0,2,4,3,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,3,5,NA,2,,,,
7/11/2025,7/11/2025,YRS,Gawape-Chorongo-Kinkajou,"GAWA-01, GAWA-02, GAWA-03, YCHO-02, KINK-01",2626,8:14 PM,10:40 PM,2:02,"O,J,JP",5,2,6,2,2,4,3,0,2,NA,NA,NA,NA,72.5,72.6,73.8,72.3,73.4,NA,NA,94.2,95.5,92.3,95.4,96.8,NA,NA,5,7,NA,1,NA,95.1,NA,74
7/9/2025,7/9/2025,YRS,Coca-Ceiba,"COCA-01, CEIB-02",764,8:45 PM,9:34 PM,0:40,"O,J",0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5,71.3,NA,NA,NA,NA,NA,92.1,96.4,NA,NA,NA,NA,NA,2,2,NA,8,NA,95.6,NA,71.2
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,"PANT-01, NAPO-01, NAPO-02, NAPO-03, BARI-02, TIMA-01, TINA-02, TINA-01, BOTA-02, BOTA-03, GRFI-01, BOTA-01",2256,8:18 PM,10:59 PM,1:49,"O,J,JP",3,6,0,2,0,11,2,5,NA,NA,NA,NA,NA,74.6,73.9,75.2,74.3,NA,NA,NA,94.7,96.1,96.7,96.4,NA,NA,NA,5,3,NA,4,NA,97.1,NA,75.8
7/7/2025,7/7/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,"TORR-01, FPPE-06, FPPE-03, FPIN-01, FPPE-05, FPPE-01",2572,8:26 PM,11:02 PM,2:11,"O,J,JP",0,0,1,2,2,1,10,3,3,NA,NA,NA,NA,76.6,76.4,75.1,74,74.1,NA,NA,92.7,96.1,94,94.8,96.3,NA,NA,7,8,NA,1,NA,95.2,NA,74.6
7/6/2025,7/6/2025,YRS,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,"YCHO-01, KINK-01, NAPO-05, TUCA-01, GARZ-02, NAPO-06",2606,8:13 PM,10:38 PM,2:12,"O,J,JP",3,0,1,2,1,0,1,3,0,NA,NA,NA,NA,74.6,75.1,74.2,74.4,75.3,NA,NA,95.7,94.8,96.6,95.7,97.1,NA,NA,8,4,NA,1,NA,95,NA,74.7
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,"COCA-01, CEIB-02, PERU-01, PERU-02, PERU-03, TIPU-01, PERU-04, PERU-05",2628,8:26 PM,11:30 PM,2:14,"O,J,JP",5,7,3,2,2,0,3,4,2,NA,NA,NA,NA,77.2,73.5,73.4,73.2,71.9,NA,NA,84.9,93.6,93.9,94.4,93.7,NA,NA,6,6,NA,2,NA,94.3,NA,71.9
7/4/2025,7/4/2025,YRS,Forest Plot Perimeter,"FPPE-03, FPPE-04, FPPE-05, FPPE-02",3561,8:21 PM,11:39 PM,3:03,"O,J,JP",0,3,0,3,3,5,0,1,4,2,6,5,2,76.6,72.6,72,71.9,72.2,71.9,74.1,85,95,95.3,95.9,94.1,95.2,90.1,3,16,NA,1,NA,92.6,NA,73.3
7/2/2025,7/2/2025,TBS,Anaconda-Lago,"ANAC-01, LAGO-02, LAGO-01",2557,8:06 PM,10:53 PM,2:19,"O,J,JP",3,4,6,3,1,3,0,1,3,0,NA,NA,NA,73.3,74.6,72.1,72.8,71.1,NA,NA,90.5,89.1,94.3,94.7,97.8,NA,NA,1,19,NA,1,NA,96,NA,71.3
7/1/2025,7/1/2025,TBS,Harpia Plot-Harpia,"HAPL-01, HARP-01",2703,8:48 PM,11:22 PM,2:18,"O,J,JP",2,0,0,1,0,3,0,2,1,4,NA,NA,NA,78.9,76.8,76.3,75.3,75,NA,NA,93.6,95.9,96.4,97.3,95.9,NA,NA,1,17,NA,1,NA,96.3,NA,74.8
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,"PUMA-01, PUPL-01, PUPL-02, PUPL-04, PUPL-07, PUPL-05, PUPL-06, PUPL-10, PUPL-12",2826,8:12 PM,11:15 PM,2:23,"O,J,JP",2,4,0,0,5,4,1,1,1,0,NA,NA,NA,79.3,77.9,77,77.9,76,NA,NA,87.3,91.3,93.6,92.1,93,NA,NA,0,16,NA,3,NA,94.1,NA,76.8
6/29/2025,6/29/2025,TBS,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,"MAPO-01, MAPO-02, MANU-01, NUMA-02, CHIO-03, CHIO-02, CHIO-01, MAPO-06, NUMA-01",3004,8:08 PM,11:03 PM,2:32,"O,J,JP",5,1,2,2,6,1,1,2,4,2,3,NA,NA,79.1,75.7,74.8,75.3,75.8,75.1,NA,84.2,93.4,94.5,93.9,94.6,95.1,NA,2,10,NA,2,NA,96.9,NA,74.3
6/28/2025,6/28/2025,TBS,Guacamayo-Puma-Harpia-Chorongo,"GUAC-03, PUMA-01, PUMA-02, HARP-05, TCHO-01",2638,8:17 PM,10:36 PM,2:08,"O,J,JP",2,2,2,0,1,0,1,0,3,NA,NA,NA,NA,76.2,75.5,73.5,74.6,75.4,NA,NA,85.6,95.7,95.9,95.6,95.8,NA,NA,0,3,NA,3,NA,94.9,NA,74.5
6/27/2025,6/27/2025,TBS,Guacamayo-Danta-Lago,"GUAC-01, GUAC-02, DANT-01, LAGO-01",1841,8:10 PM,10:04 PM,1:43,"O,J,JP",5,1,2,1,3,1,3,NA,NA,NA,NA,NA,NA,77,80.5,79.1,80.3,NA,NA,NA,91.5,84.7,87.4,85.4,NA,NA,NA,2,4,NA,4,NA,87.9,NA,80
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,"MAPO-01, MAPO-02, MAPO-03, MURC-01, MURC-02, PUEN-01, MUPO-01, MAPO-04, MAPO-05, MAPO-06, CHIO-03, NUMA-02",2768,8:01 PM,10:51 PM,2:18,"O,J,JP",1,1,0,0,4,3,2,2,0,2,NA,NA,NA,77,76.7,77.1,76.2,75.4,NA,NA,91.1,93.2,93.3,94.6,96.7,NA,NA,3,7,NA,2,NA,95.5,NA,76.1
6/25/2025,6/25/2025,TBS,Harpia Plot-Harpia,"HAPL-01, HARP-01",2703,8:00 PM,10:22 PM,2:06,"O,J,JP",1,2,1,3,4,4,3,1,3,NA,NA,NA,NA,80,79.3,77.3,75.5,78.2,NA,NA,87.2,87.8,93,96.6,97.4,NA,NA,1,11,NA,1,NA,97.6,NA,80.8
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,"PUMA-01, PUPL-01, PUPL-02, PUPL-03, PUPL-04, PUPL-07, PUPL-05, PUPL-08, PUPL-06",2819,8:12 PM,11:04 PM,2:24,"O,J,JP",0,2,1,0,0,3,5,1,4,1,NA,NA,NA,84,82.6,81.7,82,79.9,NA,NA,82.1,87.8,86.1,85.6,91.9,NA,NA,3,13,NA,3,NA,90,NA,79.5
6/21/2025,6/21/2025,TBS,Parahuaco,PARA-01,3522,8:43 PM,11:53 PM,2:54,"O,J,JP",1,0,0,2,3,1,5,1,2,0,1,2,NA,78.7,78.4,75.9,75.6,75.5,74.5,NA,86.6,86.7,92.3,93.4,94.8,94.6,NA,0,24,NA,1,NA,95.2,NA,76.1
6/20/2025,6/20/2025,TBS,Guacamayo-Puma-Harpia-Chorongo,"GUAC-03, PUMA-01, PUMA-02, HARP-05, TCHO-01",2638,8:23 PM,11:07 PM,2:18,"O,J,JP",2,1,5,2,1,4,0,7,NA,NA,NA,NA,NA,79.3,79.5,77.7,76.8,77.2,NA,NA,81.5,86.9,89.1,87.9,87.8,NA,NA,4,4,NA,2,NA,95.5,NA,76.6
6/18/2025,6/18/2025,YRS,Mirador,"MIRA-04, MIRA-03, MIRA-02, MIRA-01",2060,8:47 PM,10:56 PM,1:42,"O,J,Vicente,Nora,Dillon,Peter",3,1,3,2,3,2,3,NA,NA,NA,NA,NA,NA,78,80.2,78.8,76.7,NA,NA,NA,94.2,90.5,91.6,96.1,NA,NA,NA,6,11,NA,1,NA,97.8,NA,76
6/17/2025,6/17/2025,YRS,Forest Plot Perimeter,"FPPE-03, FPPE-04, FPPE-05, FPPE-02",3561,8:17 PM,11:35 PM,2:51,"O,J",1,5,3,1,2,1,2,0,2,6,0,1,NA,74.8,74.6,76.2,76.2,76,76.3,NA,93.2,95.2,93,93.5,94.1,92.8,NA,5,25,NA,3,NA,92.7,NA,76.9
6/15/2025,6/15/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,"TORR-01, FPPE-06, FPPE-03, FPIN-01, FPPE-05, FPPE-01",2572,8:34 PM,11:24 PM,2:20,"O,J,Tristan,Fenton,Nora",1,1,0,2,1,2,0,4,0,3,NA,NA,NA,76.3,76.1,76.2,75.7,75.2,NA,NA,96.9,95,96.2,96.5,96.4,NA,NA,5,6,NA,0,NA,97.5,NA,74.4
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,"BOTA-01, TINA-01, TINA-02, NAPO-02, NAPO-03, BARI-02, TIMA-01, NAPO-01, PANT-01, BOTA-03, BOTA-02, GRFI-01",2256,8:04 PM,10:40 PM,1:52,"O,J",3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,78.1,79.1,79.2,73.9,NA,NA,NA,89.8,89.3,88.4,97.3,NA,NA,NA,7,4,NA,0,NA,97.5,NA,76.3
6/12/2025,6/12/2025,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"GAWA-01, GAWA-02, GAWA-03, YCHO-02, KINK-01, NAPO-05, TUCA-01, GARZ-01",3332,8:01 PM,10:53 PM,2:22,"O,J",2,2,1,2,1,1,1,2,3,6,NA,NA,NA,78,79.3,80.4,77.7,78.4,NA,NA,88.6,87.8,87.1,89.7,90.5,NA,NA,9,5,NA,4,NA,90.4,NA,78.3
6/10/2025,6/10/2025,YRS,Ceiba-Peru,"CEIB-01, PERU-01, PERU-02, PERU-03, PERU-04, PERU-05",2213,8:07 PM,10:33 PM,2:01,"O,J",3,2,0,0,0,1,2,0,1,NA,NA,NA,NA,79.3,80.8,80.4,79.6,79.4,NA,NA,90.8,83.4,87.4,85.6,85.8,NA,NA,7,5,NA,2,NA,85.8,NA,79.4
6/9/2025,6/9/2025,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"YCHO-01, KINK-01, NAPO-04, BARI-02, BARI-01, TINA-01, BOTA-01",2501,8:15 PM,11:03 PM,2:08,"O,J",2,1,2,1,1,2,2,1,1,NA,NA,NA,NA,82,80,75.9,76.7,79.8,NA,NA,85.9,89.4,92.3,88.4,90,NA,NA,4,7,NA,4,NA,91.1,NA,79.2
6/7/2025,6/7/2025,TBS,Guacamayo-Danta-Lago,"GUAC-01, GUAC-02, DANT-01, LAGO-01",1841,7:59 PM,10:26 PM,2:05,"O,J",2,1,2,0,2,5,0,1,4,NA,NA,NA,NA,77,77.1,79.4,78.7,78.8,NA,NA,94,86.4,87.3,86.4,87.3,NA,NA,2,4,NA,3,NA,91.5,NA,78.1
6/6/2025,6/6/2025,TBS,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,"MAPO-02, MAPO-03, MURC-01, MURC-02 PUEN-01, MAPO-04, MAPO-05, MAPO-06, CHIO-03, NUMA-02",2305,8:08 PM,11:02 PM,2:12,"O,J",2,3,3,7,0,2,1,2,0,NA,NA,NA,NA,73.4,74.5,75.6,74.3,75.7,NA,NA,95.6,93.4,91.6,93.6,90,NA,NA,1,3,NA,1,NA,92.6,NA,75.2
6/4/2025,6/4/2025,TBS,Anaconda-Lago,"ANAC-01, LAGO-02",1838,8:12 PM,10:32 PM,1:52,"O,J,T",2,1,3,1,1,5,2,1,NA,NA,NA,NA,NA,77.8,77.8,79.8,79.5,NA,NA,NA,91,88.1,85.7,85.4,NA,NA,NA,2,5,NA,0,NA,85.7,NA,79.4
6/3/2025,6/3/2025,TBS,Numa-Chichico,"NUMA-01, CHIO-03, CHIO-02, CHIO-01",1960,8:49 PM,11:05 PM,1:53,"O,J",3,2,1,4,5,2,1,0,NA,NA,NA,NA,NA,77.9,79.7,79.4,79.3,NA,NA,NA,93.1,86.2,86.1,87.5,NA,NA,NA,1,8,no track on Gaia,3,NA,90.1,NA,79.7
8/1/2024,8/1/2024,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"TINA-01, TINA-02, NAPO-02, NAPO-01, PANT-01, BOTA-03, BOTA-02, GRFI-01",1646,8:07 PM,10:19 PM,1:58,"O,T,A",1,1,2,0,4,3,3,5,NA,NA,NA,NA,NA,77,74.6,74.4,73.1,NA,NA,NA,86.4,93.6,93.3,94.9,NA,NA,NA,5,4,Notes,NA,NA,NA,NA,NA
7/31/2024,7/31/2024,YRS,Torre-Forest Plot North Edge-Forest Plot Interior,"TORR-01, FPPE-06, FPPE-03, FPIN-01",2110,8:38 PM,11:53 PM,3:00,"O,M",5,12,0,0,1,3,2,4,0,1,3,2,3,77.7,77.8,77.4,76.5,77,76.4,76.5,93.7,92.6,92.6,93.9,93.6,93.4,93.5,5,5,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/29/2024,7/29/2024,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"YCHO-01, KINK-01, NAPO-04, BARI-02, BARI-01, TINA-01, BOTA-01",2501,8:20 PM,10:48 PM,2:15,"O,T",2,0,2,4,0,1,4,1,9,3,NA,NA,NA,79.4,77.4,77.6,78.3,76.6,NA,NA,90.4,92.1,92.1,93.9,92.4,NA,NA,6,4,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/28/2024,7/28/2024,YRS,Peru-Ceiba,"PERU-05, PERU-04, PERU-03, PERU-02, PERU-01, CEIB-01",2213,8:27 PM,11:31 PM,2:56,"O,M",1,3,5,4,6,1,2,2,1,1,4,2,NA,73,78.1,76.9,76.8,76.8,75.8,NA,96,89.5,86.7,87.6,87.3,89.3,NA,7,3,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/26/2024,7/26/2024,YRS,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,"GAWA-01, GARZ-01, TUCA-01, NAPO-05, KINK-01, YCHO-02, GAWA-03, GAWA-02",3332,8:02 PM,10:54 PM,2:46,"O,A",0,3,3,3,2,5,2,6,2,0,3,1,NA,78.4,76.7,78.2,77.1,76.6,76.2,NA,88.2,93.7,91.2,93.1,94.6,94.3,NA,7,6,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/25/2024,7/25/2024,YRS,Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre,"FPPE-01, FPPE-05, FPIN-01, FPPE-03, FPPE-06, TORR-01",2572,8:19 PM,10:44 PM,2:02,"O,T",7,2,0,1,2,0,5,0,0,NA,NA,NA,NA,77.3,81.2,80.4,78.6,79,NA,NA,91.5,83.5,84.3,86.1,84.3,NA,NA,10,6,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/23/2024,7/23/2024,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,"TINA-01, TINA-02, NAPO-02, NAPO-01, PANT-01, BOTA-03, BOTA-02, GRFI-01",1646,8:09 PM,10:45 PM,2:06,"O,T",3,1,1,2,1,2,0,2,1,NA,NA,NA,NA,77.6,79.8,79.3,78.8,78,NA,NA,90.5,87.2,86.3,91.3,89.7,NA,NA,6,4,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/20/2024,7/20/2024,TBS,Puma-Puma Plot,"PUMA-01, PUPL-01, PUPL-10, PUPL-02, PUPL-03, PUPL-04, PUPL-05, PUPL-06, PUPL-12, PUPL-11",3217,8:06 PM,11:51 PM,2:50,"O,T",1,0,3,0,2,0,4,2,0,1,3,1,NA,71.7,73.3,74,74.2,74.2,73.5,NA,99.4,99.1,96,97.8,93.5,94.8,NA,2,5,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/18/2024,7/18/2024,TBS,Harpia Plot-Harpia-Matapalo,"HAPL-01, HARP-01, MAPO-02, MAPO-01",2926,8:00 PM,10:50 PM,2:31,"O,Brian",1,1,1,0,4,0,1,11,2,0,5,NA,NA,77.3,82.7,77.9,77.5,77.4,76.1,NA,94.7,83.9,90.5,92.4,91,88.8,NA,2,5,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/17/2024,7/17/2024,TBS,Puma-Puma Plot,"PUMA-01, PUPL-01, PUPL-02, PUPL-04, PUPL-07, PUPL-05, PUPL-08, PUPL-06, PUPL-09",2772,8:14 PM,11:22 PM,2:46,"O,T",0,2,1,2,4,0,3,0,2,1,0,2,NA,74.1,75.5,74.8,74.6,75,74.8,NA,87.4,86.1,89.7,90.5,89.4,90.6,NA,0,7,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/15/2024,7/15/2024,TBS,Anaconda-Lago,"ANAC-01, LAGO-02",1838,8:14 PM,11:42 PM,3:00,"O,M",1,1,0,6,2,0,1,3,5,0,9,1,2,74.9,75.8,74.5,74.9,74.5,75.8,76.3,95.2,92.9,92.8,91.3,92.4,88.6,88,4,5,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/14/2024,7/15/2024,TBS,Harpia Plot-Harpia,"HAPL-01, HARP-01",2703,8:51 PM,12:05 AM,3:00,"O,T",1,2,4,3,1,0,7,2,3,1,4,4,2,76.2,78.6,77.8,79.6,79.5,78,76.2,90.4,84.3,87,81.4,81,85.5,88.1,1,6,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/11/2024,7/11/2024,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,"GUAC-03, PUMA-01, PUMA-02, HARP-05, TCHO-01",2638,8:08 PM,10:57 PM,2:45,"O,T",1,3,2,0,4,3,3,2,0,5,2,2,NA,78.7,78.7,79.7,79.8,79.6,80.6,NA,89.2,85.6,81.6,80.7,81.2,78.6,NA,4,3,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/10/2024,7/10/2024,TBS,Guacamayo-Danta-Lago,"GUAC-01, GUAC-02, DANT-01, LAGO-01",1841,8:07 PM,10:58 PM,2:43,"O,M",0,3,0,1,0,3,0,0,4,1,2,NA,NA,75.6,75.8,76.2,76.2,76.9,76.2,NA,97.6,96.8,94.4,93.8,91.9,92.3,NA,5,5,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/8/2024,7/8/2024,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,"MAPO-01, MAPO-02, MAPO-03, MURC-01, MURC-02, PUEN-01, MUPO-01, MAPO-04, MAPO-05, MAPO-06, CHIO-03, NUMA-01",2790,8:01 PM,10:53 PM,2:49,"O,Ethan",2,2,3,0,1,5,0,0,0,1,1,2,NA,74,75,76.3,74.6,74.6,74.9,NA,91.8,84.9,84.4,86.6,87.8,91.1,NA,0,4,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/6/2024,7/6/2024,YRS,Forest Plot Perimeter,"FPPE-03, FPPE-04, FPPE-05, FPPE-02",3561,8:29 PM,11:28 PM,2:52,"O,A",0,0,1,2,2,1,0,1,4,0,5,0,NA,73.8,73.3,72.9,72.4,72.6,72.4,NA,81.8,95.6,94.6,96.7,97.1,97.2,NA,3,4,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/4/2024,7/4/2024,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"YCHO-01, KINK-01, NAPO-04, BARI-02, BARI-01, TINA-01, BOTA-01",2501,8:12 PM,11:00 PM,2:40,"O,Sophia",5,1,2,6,2,1,0,1,2,3,5,NA,NA,81.2,78.3,77.2,77.1,76.6,78.2,NA,80.2,87,92.1,92.1,93.3,89.4,NA,5,7,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/3/2024,7/3/2024,YRS,Ceiba-Peru,"CEIB-01, PERU-01, PERU-02, PERU-03, PERU-04, PERU-05",2213,8:11 PM,11:07 PM,2:28,"O,M",5,5,0,2,2,1,3,5,6,2,NA,NA,NA,77.1,77.6,77.5,77.6,76.9,NA,NA,93.2,92.7,92.6,92.1,94,NA,NA,3,4,timer stopped @ recorded data,NA,NA,NA,NA,NA
7/2/2024,7/2/2024,YRS,Forest Plot Perimeter,"FPPE-03, FPPE-04, FPPE-05, FPPE-02",3561,8:00 PM,11:11 PM,3:00,"O,T",2,0,2,1,2,3,2,2,0,1,1,2,5,79.5,80.1,78,79.1,80.5,79.1,78.7,83.4,86,87.5,85.3,82.3,85.4,90,8,5,timer stopped @ recorded data,NA,NA,NA,NA,NA
6/29/2024,6/29/2024,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"GAWA-01, GAWA-02, GAWA-03, YCHO-02, KINK-01, NAPO-05, TUCA-01, GARZ-01",3332,8:04 PM,11:19 PM,3:06,"O,M,Dimitri",3,2,4,2,2,4,0,4,4,6,3,2,1,81.1,79.3,78.5,80.3,79.6,78.6,77.1,88,93.2,92.8,91.1,92.5,93.1,94.5,7,6,timer stopped @ recorded data,NA,NA,NA,NA,NA
6/27/2024,6/27/2024,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"YCHO-01, KINK-01, NAPO-04, BARI-02, BARI-01, TINA-01, BOTA-01",2501,8:07 PM,11:04 PM,2:44,"O,T",2,3,0,2,1,2,4,2,2,1,3,0,NA,83.4,78,77.7,77.5,77.2,77.8,NA,76,86.3,86,86.5,87,85.8,NA,2,6,timer stopped @ recorded data,NA,NA,NA,NA,NA
6/23/2024,6/23/2024,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,"MAPO-02, MAPO-03, MURC-01, PUEN-01, MUPO-01, PUEN-01, MURC-01, MAPO-03",1956,8:00 PM,10:36 PM,2:36,"O,M,Ramiro",1,3,8,1,1,7,5,5,1,5,2,NA,NA,79.2,80.3,80.5,79.9,79.3,78.4,NA,92.3,89.8,89,90.5,90.1,91.8,NA,1,2,NA,NA,NA,NA,NA,NA
6/22/2024,6/22/2024,TBS,Anaconda-Lago,"ANAC-01, LAGO-02, LAGO-01",2557,8:06 PM,10:29 PM,2:23,"O,T,Jess,Amy,Adrian",3,0,1,2,4,7,3,4,1,4,NA,NA,NA,85.3,84.1,83.1,83,77.6,NA,NA,78.4,81.5,79.7,78.9,90.1,NA,NA,2,5,NA,NA,NA,NA,NA,NA
6/21/2024,6/21/2024,TBS,Matapalo-Harpia,"MAPO-01, MAPO-02, HARP-01",706,8:11 PM,9:36 PM,1:25,"O,Ramiro",3,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,75.4,77.2,76.3,NA,NA,NA,NA,94.7,91.1,90.5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
6/19/2024,6/19/2024,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,"GUAC-03, PUMA-01, PUMA-02, HARP-05, TCHO-01, GUAC-01 ",2868,7:58 PM,10:50 PM,2:52,"O,M,Jess,Amy",0,5,8,2,8,0,2,3,5,2,3,4,NA,77,76.4,76.3,76.6,76.4,77.2,NA,90.5,93,92.3,93.7,92.1,91.6,NA,2,3,NA,NA,NA,NA,NA,NA
6/17/2024,6/18/2024,TBS,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,"MAPO-01, MAPO-02, MAPO-03, MURC-01, MURC-02, MAPO-04, MAPO-05, MAPO-06, CHIO-03, NUMA-01, MANU-01, MAPO-02",2600,8:04 PM,12:11 AM,3:01,"O,T",1,7,12,3,4,1,8,4,3,3,7,2,2,80.2,79.5,78.6,79,78.8,78.1,78.4,83.7,92,90.5,88.3,88.4,89.8,89.4,1,3,timer stopped @ recorded data,NA,NA,NA,NA,NA
6/13/2024,6/13/2024,TBS,Guacamayo-Danta-Lago,"GUAC-01, GUAC-02, DANT-01, LAGO-01",1841,8:59 PM,11:54 PM,2:55,"O,M,T",0,1,0,8,2,3,9,9,1,4,8,7,NA,81.6,82,83.7,80.2,83,80.8,NA,80.4,83.4,73.9,84.7,79.8,85.2,NA,0,5,timer stopped @ recorded data,NA,NA,NA,NA,NA
6/11/2024,6/11/2024,TBS,"Numa-Chichico-Matapalo, Chichico, Numa","NUMA-02-CHIO-03, CHIO-02, CHIO-01, MAPO-06, CHIO-03,  NUMA-01",2648,8:37 PM,11:36 PM,2:59,"O,M,T,A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA
