Snake Non-Survey Data Sheet,,,,,,,,,,,,,,,,,,,,
Date,Station,Location_Found,Type_of_Encounter,Observor,During_My_Rotation ,Snake_ID,Species,Common_Name,Time_Found,GPS_Coordinates,Height_of_Individual,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Time_Window_of_Last_Rain_Event_h,Habitat_Type,Weather,Wind,Diet_Type,Primary_Diet_Component,Method_of_Detection
06/12/24,TBS,Matapalo-Torre 1,OE,Owen McCool,Yes,OESK01,Chironius multiventris,South American Sipo,1:32 PM,S 00°38.2242' W 076°08.7647',G,,,6,Terrafirme,cloudy,no wind,no mammals,frogs,scouting for fruiting trees
06/15/24,TBS,Matapalo-Harpia,TPE,Sam Rettke,Yes,TPSK01,Colubridae,Probably Ground Snake,9:35 AM,S 00°38.2153' W 076°08.8683',G,,,6,Terrafirme,cloudy,no wind,,,seaarching for monkeys
06/15/24,TBS,Guacamayo ,TPE,Therese Lamperty,Yes,TPSK02,Colubridae,Probably SA Sipo,9:55 AM,S 00°38.0881' W 076°09.1744',G,,,6,Terrafirme,partly cloudy,no wind,,,collecting seeds
06/15/24,TBS,Torre 1,TPE,Kelly's Students,Yes,TPSK03,Dipsas catesbyi,Catesby's Snail Eater,11:30 AM,S 00°38.2682' W 076°08.7494',C,,,12,Terrafirme,cloudy,no wind,no mammals,arthropods,student group hike
06/18/24,TBS,Camp by Lab,OE,Owen McCool,Yes,OESK02,Chironius scurrula,Wagler's Sipo,2:26 PM,S 00°38.2224' W 076°09.0022',G,83.2,83.4,36,Terrafirme,clear,felt on face,no mammals,frogs,by chance walking around lab
06/18/24,TBS,River Dock,TPE,Mike Ellis,Yes,TPSK04,Helicops pastazae,Shreve's Keelback,2:39 PM,S 00°38.2918' W 076°08.9560',G,74.2,84.8,36,Varzea,clear,no wind,no mammals,fish,birding at dock
06/18/24,TBS,Camp by Dining Hall,OE,Owen McCool,Yes,OESK03,Oxyrhopus occipitalis,Yellow-headed Flame Snake,7:03 PM,S 00°38.2868' W 076°08.9572',G,76.6,97.7,42,Terrafirme,clear,no wind,mixed,mixed,by chance walking to dinner
06/22/24,TBS,Danta,TPE,Amy Doherty,Yes,TPSK05,Xenoxybelis argenteus,Striped Sharpnose Snake,7:58 AM,S 00°38.279' W 076°09.244',U,,,18,Varzea,clear,no wind,no mammals,lizards,work retreat group hike
06/22/24,TBS,Puma Plot Westernmost Transect,TPE,Sam Rettke,Yes,TPSK06,Chironius multiventris,South American Sipo,3:45 PM,S 00°37.4420' W 076°09.7280',G,,,24,Terrafirme,clear,no wind,no mammals,frogs,seaarching for monkeys
06/26/24,YRS,Canal by Block C,OE,Owen McCool,Yes,OESK04,Eunectes murinus,Green Anaconda,12:54 PM,S 00°40.4336' W 076°23.8879',G,78.6,82.8,0,Varzea,rain,felt on face,mostly mammals,mammals,by chance walking to lunch
06/28/24,YRS,Ceiba,TPE,Dimitri,Yes,TPSK07,Bothrops atrox,Common Lancehead,10:18 PM,S 00°40.5000' W 076°23.8015',G,,,48,Varzea,partly cloudy,no wind,mixed,frogs,student group hike
06/29/24,YRS,Southwest Corner Forest Plot,TPE,Peter,Yes,TPSK08,Colubridae,Probably Ground Snake/Sipo,11:42 AM,S 00°41.1156' W 076°24.2471',G,,,6,Terrafirme,clear,no wind,,,forest plot research
06/28/24,YRS,Botanico,TPE,Benjamin,Yes,TPSK11,Oxyrhopus occipitalis,Yellow-headed Flame Snake,10:13 PM,S 00°40.5194' W 076°23.9051',U,,,36,Terrafirme,clear,no wind,mixed,mixed,student group hike
06/28/24,YRS,Botanico,TPE,Mateo,Yes,TPSK09,Imantodes cenchoa,Blunt-headed Tree Snake,10:14 PM,S 00°40.5189' W 076°23.9035',U,,,36,Terrafirme,clear,no wind,no mammals,lizards,student group hike
06/28/24,YRS,Maxus Road,TPE,Sophia,Yes,TPSK10,Tantilla melanocephala,Black-headed Snake,4:15 PM,S 00°40.836' W 076°23.6814',G,,,6,Terrafirme,clear,no wind,no mammals,arthropods,going for run on road
06/27/24,TBS,Guacamayo ,TPE,Sam Rettke,No,TPSK12,Epicrates cenchria,Western Rainbow Boa,10:30 AM,S 00°37.9756' W 076°09.7962,G,,,6,Terrafirme,cloudy,no wind,mostly mammals,mammals,searching for monkeys
06/11/24,YRS,Central Forest Plot,TPE*,Kai,No,TPSK13,Drymarchon corais,Yellowtail Cribo,9:30 AM,S 00°40.9783' W 076°24.0218,G,,,6,Terrafirme,clear,no wind,mixed,mammals,forest plot research
07/01/24,YRS,Flooded Roadway by Camp,OE,Owen McCool,Yes,OESK06,Helicops angulatus,Brown-banded Watersnake,7:59 PM,S 00°40.4118' W 076°23.8843',G,,,6,Varzea,cloudy,branches move,no mammals,fish,intentionally searching flooded pond at camp
07/01/24,YRS,Flooded Roadway by Camp,OE,Owen McCool,Yes,OESK07,Helicops angulatus,Brown-banded Watersnake,8:54 PM,S 00°40.4306' W 076°23.8885',G,,,6,Varzea,cloudy,branches move,no mammals,fish,intentionally searching flooded pond at camp
07/02/24,YRS,South Edge Forest Plot,OE,Owen McCool,Yes,OESK05,Drymarchon corais,Yellowtail Cribo,11:22 AM,S 00°41.1420' W 076°24.1726',G,,,6,Terrafirme,cloudy,no wind,mixed,mammals,setting up seed exclosures 
06/14/24,YRS,Dining Hall,TPE,Aeddon,No,TPSK14,Leptodeira approximans,Upper Amazon Cat-eyed Snake,9:40 PM,S 00°40.4526' W 076°23.8446',U,,,18,Terrafirme,,,mixed,frogs,by chance walking back from dinner
07/03/24,YRS,Flooded Roadway by Camp,OE,Owen McCool,Yes,OESK08,Micrurus surinamensis ,Aquatic Coralsnake,7:54 PM,S 00°40.4214' W 076°23.9142',G,77.9,90.7,12,Varzea,cloudy,none,no mammals,fish,on way to survey trail
06/29/24,YRS,Ceiba,TPE,Diego Martínez,Yes,TPSK15,Chironius fuscus ,Brown Sipo,11:00 AM,S 00°40.5252' W 076°23.8014',G,,,6,Varzea,clear,none,mixed ,frogs,student group hike
07/04/24,YRS,Napo-Bariso Intersection,TPE,Mike Ellis,Yes,TPSK16,Colubridae,Probably tantilla/sipo,9:15 AM,S 00°40.421' W 076°24.122',G,,,6,Terrafirme,cloudy,no wind,,,birding on trail
07/07/24,YRS,Flooded Forest by Camp,OE,Owen McCool,Yes,OESK09,Epicrates cenchria,Western Rainbow Boa,7:48 PM,S 00°40.4154' W 076°23.8938',G,,,12,Varzea,clear,no wind,mostly mammals,mammals,Owen's night walk for fun
07/11/24,TBS,Flooded Pond by Camp,OE,Owen McCool,Yes,OESK10,Helicops angulatus,Brown-banded Watersnake,11:10 PM,S 00°38.2674' W 076°09.0096',G,,,6,Varzea,partly cloudy,no wind,no mammals,fish,Owen's night walk for fun
07/12/24,YRS,Ceiba,TPE,Aeddon,No,TPSK17,Siphlophis cervinus,Panama Spotted Nightsnake,9:07 PM,S 00°40.596' W 076°23.722',U,,,6,Terrafirme,cloudy,no wind,no mammals,lizards,student group hike
07/15/24,TBS,Flooded Pond by Camp,OE,Owen McCool,Yes,OESK11,Helicops angulatus,Brown-banded Watersnake,12:16 AM,S 00°38.2686' W 076°09.0174',G,,,12,Varzea,clear,no wind,no mammals,fish,intentionally searching flooded pond at camp
07/15/24,TBS,Flooded Pond by Camp,OE,Owen McCool,Yes,OESK12,Helicops angulatus,Brown-banded Watersnake,12:17 AM,S 00°38.2664' W 076°09.0138',G,,,12,Varzea,clear,no wind,no mammals,fish,intentionally searching flooded pond at camp
07/15/24,TBS,Camp by Lab,OE,Owen McCool,Yes,OESK13,Oxyrhopus petolarius,Forest Flame Snake,12:29 AM,S 00°38.2284' W 076°08.9976',U,,,12,Terrafirme,clear,no wind,mixed,mixed,by chance walking back to cabin
07/16/24,TBS,Flooded Pond by Camp,OE,Owen McCool,Yes,OESK14,Erythrolamprus aesculapii,Aesculapian False Coralsnake,12:11 AM,S 00°38.2668' W 076°09.0162',G,,,24,Varzea,clear,no wind,no mammals,snakes,intentionally searching flooded pond at camp
07/16/24,TBS,Flooded Pond by Camp,OE,Owen McCool,Yes,OESK15,Helicops angulatus,Brown-banded Watersnake,10:14 PM,S 00°38.2596' W 076°09.0360',G,,,24,Varzea,clear,no wind,no mammals,fish,intentionally searching flooded pond at camp
06/20/24,YRS,SW Corner Forest Plot,TPE,Aeddon,No,TPSK18,Xenoxybelis argenteus,Striped Sharpnose Snake,11:00 AM,S 00°41.0757' W 076°24.1521',U,,,18,Terrafirme,cloudy,no wind,no mammals,lizards,forest plot research
06/24/24,YRS,Maxus Road,TPE,Therese Lamperty,Yes,TPSK19,Oxyrhopus vanidicus,Impostor Flame Snake,3:30 PM,,G,,,24,Terrafirme,clear,no wind,mixed,mixed,going for run on road
07/18/24,TBS,Puma Plot  ,TPE,Jacqie,Yes,TPSK20,Xenoxybelis argenteus,Striped Sharpnose Snake,3:30 PM,S 00°37.4622' W 076°09.4478',U,,,18,Terrafirme,cloudy,no wind,no mammals,lizards,tree camera trap research
07/19/24,TBS,Parahuaco,TPE,Laura,Yes,TPSK21,Drymarchon corais,Yellowtail Cribo,11:15 AM,S 00°38.6314' W 076°08.4141',G,,,36,Terrafirme,partly cloudy,no wind,mostly mammals,mammals,primate group research 
07/19/24,TBS,Near Dock by Dining Hall,OE,Owen McCool,Yes,OESK16,Xenoxybelis argenteus,Striped Sharpnose Snake,7:56 PM,S0° 38.301' W76° 08.959',U,,,48,Terrafirme,cloudy,no wind,no mammals,lizards,coming back up from looking at caiman
07/20/24,TBS,Chorongo,TPE,Alyssa Cabrera,Yes,TPSK22,Taeniophallus brevirostris,Short-nosed Groundsnake,9:22 AM,S 00°38.1043' W 076°09.0827',G,,,60,Terrafirme,cloudy,no wind,no mammals,arthropods,frugivore survey 
07/21/24,TBS,Guacamayo ,TPE,Sam Rettke,Yes,TPSK23,Chironius multiventris,South American Sipo,1:30 PM,,G,,,18,Terrafirme,clear,no wind,no mammals,frogs,primate group research 
07/24/24,YRS,Volleyball court by camp,OE,Amalia,Yes,OESK17,Eunectes murinus,Green Anaconda,11:00 PM,,G,,,72,Varzea,cloudy,no wind,mostly mammals,mammals,herpetologists' routine night walk
07/25/24,TBS,Inside student cabin,TPE,Spencer Andersen,No,TPSK24,Chironius multiventris,South American Sipo,12:47 PM,,G,,,84,Terrafirme,partly cloudy,felt on face,no mammals,frogs,by chance when walking into cabin
07/28/24,TBS,Roof of lab building,TPE,Sam Rettke,No,TPSK25,Chironius multiventris,South American Sipo,8:47 AM,,U,,,156,Terrafirme,,,no mammals,frogs,seen out window while doing lab work
07/25/24,YRS,Small dirt path by dock,OE,Owen McCool,Yes,OESK18,Oxyrhopus vanidicus,Impostor Flame Snake,11:21 PM,,G,,,96,Terrafirme,partly cloudy,felt on face,mixed,mixed,intentionally searching areas aroud camp
07/25/24,YRS,Flooded Pond by Camp,OE,Owen McCool,Yes,OESK19,Helicops angulatus,Brown-banded Watersnake,11:31 PM,,G,,,96,Varzea,partly cloudy,felt on face,no mammals,fish,intentionally searching flooded area at camp
07/25/24,YRS,Flooded Pond by Camp,OE,Owen McCool,Yes,OESK20,Helicops angulatus,Brown-banded Watersnake,11:32 PM,,G,,,96,Varzea,partly cloudy,felt on face,no mammals,fish,intentionally searching flooded area at camp
07/30/24,YRS,Flooded canal behind lodgings,OE,Owen McCool,Yes,OESK21,Oxyrhopus vanidicus,Impostor Flame Snake,9:50 PM,,G,,,0,Varzea,rain,none,mixed,mixed,intentionally searching flooded area at camp
07/29/24,YRS,Shrub by dock,OE,Owen McCool,Yes,OESK22,Xenoxybelis argenteus,Striped Sharpnose Snake,11:10 PM,,U,,,30,Terrafirme,clear,none,no mammals,lizards,by chance while going to photograph Emerald Tree Boa
08/01/24,YRS,Flooded Pond by Camp,OE,Owen McCool,Yes,OESK23,Helicops angulatus,Brown-banded Watersnake,12:47 AM,,G,,,24,Varzea,clear,none,no mammals,fish,intentionally searching flooded pond at camp
08/01/24,YRS,Flooded canal behind lodgings,OE,Owen McCool,Yes,OESK24,Micrurus helleri,Western Ribbon Coralsnake,10:28 PM,,G,,,48,Varzea,clear,none,no mammals,snakes,intionally searching flooded area at camp
07/27/24,TBS,Chichico,TPE,Ignacio,No,TPSK26,Oxyrhopus occipitalis,Yellow-headed Flame Snake,10:02 AM,,G,,,132,Terrafirme,cloudy,none,mixed,mixed,primate group research 